Vatsakipu,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,,,,,,,,
,Kuinka kauan nykyistä vatsakipua sinulla on ollut?,valinta,Vatsakipu on alkanut minulla tänään.,"Potilaalla kipua, joka on alkanut tänään,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut vatsakipua 1-3 vuorokauden ajan.,"Potilaalla ollut kipua 1-3 vrk:n ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut vatsakipua 4-6 vuorokauden ajan.,"Potilaalla ollut kipua 4-6 vrk:n ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut vatsakipua 1-2 viikon ajan.,"Potilaalla ollut kipua 1-2 vko ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut vatsakipua 2 vko - 1kk ajan.,"Potilaalla ollut kipua 2 vko - 1kk ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on ollut vatsakipua yli kuukauden ajan.,"Potilaalla ollut kipua yli 1kk ajan,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Missä kohtaa sinulla on vatsakipua?,valinta,Minulla on kipua koko vatsan alueella., koko vatsan alueella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on kipua ylävatsalla.,,Missä kohdassa ylävatsaa sinulla on kipua?,valinta,Minulla on kipua koko ylävatsan alueella., koko ylävatsan alueella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua ylävatsalla oikealla puolella., oikealla puolella ylävatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua ylävatsalla keskellä., keskellä ylävatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua ylävatsalla vasemmalla puolella., vasemmalla puolella ylävatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on kipua alavatsalla. ,,Missä kohdassa alavatsaa sinulla on kipua?,valinta,Minulla on kipua koko alavatsan alueella., koko alavatsan alueella.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua alavatsalla oikealla puolella., oikealla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua alavatsalla keskellä., keskellä alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua alavatsalla vasemmalla puolella., vasemmalla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on kipua oikealla puolella vatsaa.,,Missä kohdassa oikealla puolella vatsaa sinulla on kipua?,valinta,Minulla on koko oikea puoli vatsasta kipeä., oikealla puolella vatsaa kauttaaltaan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua ylävatsalla oikealla puolella., oikealla puolella ylävatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua alavatsalla oikealla puolella., oikealla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on kipua keskellä vatsaa., keskellä vatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on kipua navan seudulla., navan seudulla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minulla on kipua vasemmalla puolella vatsaa.,,Missä kohdassa vasemmalla puolella vatsaa sinulla on kipua?,valinta,Minulla on koko vasen puoli vatsasta kipeä., vasemmalla puolella vatsaa kauttaaltaan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua ylävatsalla vasemmalla puolella., vasemmalla puolella ylävatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minulla on kipua alavatsalla vasemmalla puolella., vasemmalla puolella alavatsaa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa tarkkaan missä kohtaa kipua on.," vatsan alueella, ei osaa sanoa tarkkaan missä kohtaa vatsaa kipua on.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko vatsakipusi jatkuva vai ajoittaista vai aaltoimaista?,valinta,Kipu on jatkuvaa.,,"Kuinka kova kipu on pahimillaan? Kipuasteikolla 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen sietämätön kipu.",ligert,,"Kipu on jatkuvaa ja luonteeltaan polttavaa, VAS pahimillaan __,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kipu on ajoittaista.,,"Kuinka kova kipu on pahimmillaan? Kipuasteikolla 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen sietämätön kipu.",ligert,,"Kipu on ajoittaista ja luonteeltaan polttavaa, VAS pahimillaan __,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kipu on aaltomaista.,,"Kuinka kova kipu on pahimillaan? Kipuasteikolla 1-10, jossa 1=ei juuri kipua lainkaan vrt 10=pahin mahdollinen sietämätön kipu.",ligert,,"Kipu on aaltomaista ja luonteeltaan polttavaa, VAS pahimillaan __,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko vatsakipu koko ajan pahentunut?,valinta,Kyllä,Kipu on pahentunut koko ajan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Kipu ei ole pahentunut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,"Ei osaa sanoa, että onko kipu pahentunut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
